"","zmienna","wartosc","subgroup"
"1","klimatyzowany",42.6695842450766,"podstawowe"
"2","nie_dla_epileptyków",21.0065645514223,"podstawowe"
"3","przyjazny_zwierzętom",16.1925601750547,"podstawowe"
"4","nieodpowiednie_dla_osób_z_klaustrofobią",22.3194748358862,"podstawowe"
"5","możliwość_płatności_kartą",53.6105032822757,"podstawowe"
"6","nie_dla_kobiet_w_ciąży",21.2253829321663,"podstawowe"
"7","przyjazny_dzieciom",47.0459518599562,"podstawowe"
"8","od_16_lat",21.4442013129103,"podstawowe"
"9","tylko_niskie_napięcie_w_zasięgu_gracza",67.6148796498906,"bezpieczeństwo"
"10","dezynfekowane_pokoje",49.0153172866521,"bezpieczeństwo"
"11","ograniczony_kontakt_z_innymi_grupami",24.2888402625821,"bezpieczeństwo"
"12","oświetlenie_awaryjne",51.2035010940919,"bezpieczeństwo"
"13","dostępny_żel_antybakteryjny",52.5164113785558,"bezpieczeństwo"
"14","przycisk_bezpieczeństwa",52.7352297592998,"bezpieczeństwo"
"15","drzwi_zawsze_otwarte",45.7330415754923,"bezpieczeństwo"
"16","pełen_monitoring",88.8402625820569,"bezpieczeństwo"
"17","pełen_kontakt_z_mistrzem_gry",89.0590809628009,"bezpieczeństwo"
"18","klucz_bezpieczeństwa",27.5711159737418,"bezpieczeństwo"
"19","system_awaryjnego_otwierania_drzwi",54.0481400437637,"bezpieczeństwo"
"20","dostępne_rekawiczki",29.3216630196937,"bezpieczeństwo"
"21","angielski",57.1115973741794,"języki"
"22","polski",100,"języki"
